epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2751.46,1.33546,0.57354,0.00295,0.83004,0.74678,0.80172,0.54733,1.31591,1.22943,0.00394,0.000317,0.000317,0.000317
87,2780.58,1.28751,0.5414,0.00307,0.83221,0.74249,0.79306,0.54545,1.31721,1.18486,0.00392,0.0002972,0.0002972,0.0002972
88,2809.8,1.33234,0.56675,0.00291,0.80786,0.75823,0.79481,0.54694,1.31304,1.21309,0.00392,0.0002774,0.0002774,0.0002774
89,2838.95,1.34761,0.56666,0.0029,0.80714,0.75966,0.79388,0.54092,1.32182,1.24284,0.00395,0.0002576,0.0002576,0.0002576
90,2868.39,1.36199,0.57307,0.00286,0.81045,0.76395,0.79746,0.54836,1.30911,1.23575,0.00389,0.0002378,0.0002378,0.0002378
91,2933.07,1.19964,0.47446,0.00314,0.82435,0.75871,0.8043,0.54484,1.31447,1.18852,0.00392,0.000218,0.000218,0.000218
92,2961.38,1.20701,0.47351,0.00312,0.83575,0.76395,0.80975,0.55513,1.30357,1.16058,0.00388,0.0001982,0.0001982,0.0001982
93,2990.14,1.19394,0.4797,0.0032,0.8586,0.7382,0.80849,0.55561,1.30712,1.14147,0.00389,0.0001784,0.0001784,0.0001784
94,3018.8,1.19518,0.46796,0.00315,0.84356,0.76395,0.81067,0.55607,1.31218,1.14812,0.0039,0.0001586,0.0001586,0.0001586
95,3048.9,1.19377,0.46483,0.00316,0.82879,0.76179,0.8083,0.55274,1.3136,1.16684,0.00391,0.0001388,0.0001388,0.0001388
96,3079.07,1.20026,0.47046,0.00306,0.81734,0.76967,0.80616,0.55249,1.31476,1.17769,0.00392,0.000119,0.000119,0.000119
97,3108.41,1.18585,0.46297,0.0031,0.81594,0.76737,0.80705,0.55341,1.30889,1.18407,0.00389,9.92e-05,9.92e-05,9.92e-05
98,3137.2,1.19309,0.46643,0.00316,0.82735,0.76783,0.80711,0.55277,1.30439,1.17545,0.00388,7.94e-05,7.94e-05,7.94e-05
99,3166.06,1.20466,0.46889,0.0031,0.83056,0.76437,0.80612,0.55308,1.30978,1.17624,0.0039,5.96e-05,5.96e-05,5.96e-05
100,3194.56,1.18391,0.4637,0.00318,0.84655,0.75766,0.80804,0.55476,1.30594,1.18149,0.00388,3.98e-05,3.98e-05,3.98e-05
